"species","scientificName","total_records","gbif_records","inat_records","first_year","last_year"
"Leucosticte brandti","Leucosticte brandti Bonaparte, 1850",10,10,0,2022,2024
"Motacilla maderaspatensis","Motacilla maderaspatensis Gmelin, 1789",10,10,0,2021,2024
"Passer montanus",NA,10,0,10,2019,2025
"Pericrocotus ethologus",NA,10,0,10,2021,2024
"Picumnus innominatus","Picumnus innominatus Burton, 1836",10,10,0,2019,2024
"Prunella collaris","Prunella collaris (Scopoli, 1769)",10,10,0,2021,2024
"Seicercus whistleri","Phylloscopus whistleri (Ticehurst, 1925)",10,10,0,2021,2025
"Sitta cinnamoventris","Sitta cinnamoventris Blyth, 1842",10,10,0,2021,2024
"Spatula clypeata",NA,10,0,10,2012,2024
"Tringa ochropus",NA,10,0,10,2019,2024
"Ardea cinerea","Ardea cinerea Linnaeus, 1758",9,9,0,2021,2023
"Buteo rufinus",NA,9,0,9,2020,2024
"Coracias garrulus","Coracias garrulus Linnaeus, 1758",9,9,0,2018,2024
"Dicrurus leucophaeus",NA,9,0,9,2021,2024
"Dicrurus macrocercus",NA,9,0,9,2018,2025
"Falco peregrinus","Falco peregrinus Tunstall, 1771",9,9,0,2022,2024
"Leiothrix lutea","Leiothrix lutea (Scopoli, 1786)",9,9,0,2020,2024
"Lonchura punctulata",NA,9,0,9,2018,2024
"Lophophorus impejanus","Lophophorus impejanus (Latham, 1790)",9,9,0,2021,2025
"Luscinia svecica","Luscinia svecica (Linnaeus, 1758)",9,9,0,2018,2025
"Nycticorax nycticorax",NA,9,0,9,2015,2024
"Parus monticolus",NA,9,0,9,2019,2025
"Petrochelidon fluvicola","Petrochelidon fluvicola (Blyth, 1855)",9,9,0,2021,2024
"Phoenicurus frontalis","Phoenicurus frontalis Vigors, 1832",9,9,0,2019,2025
"Prunella strophiata",NA,9,0,9,2017,2025
"Psittacula himalayana",NA,9,0,9,2016,2024
"Sitta leucopsis",NA,9,0,9,2021,2025
"Tyto javanica",NA,9,0,9,2022,2025
"Aquila chrysaetos",NA,8,0,8,2013,2025
"Carpodacus grandis",NA,8,0,8,2019,2024
"Carpodacus rodochroa",NA,8,0,8,2021,2025
