"species","scientificName","priority_score","priority_level","total_records","n_grid_cells","rarity_score","range_score","trend_score"
"Xenus cinereus",NA,82,"Critical Priority",1,2,100,100,40
"Yungipicus canicapillus","Yungipicus canicapillus (Blyth, 1845)",82,"Critical Priority",1,1,100,100,40
NA,NA,82,"Critical Priority",1,1,100,100,40
"Botaurus minutus",NA,76,"High Priority",5,3,100,80,40
"Dendrocitta formosae","Dendrocitta formosae Swinhoe, 1863",76,"High Priority",5,3,100,80,40
"Himantopus himantopus",NA,76,"High Priority",5,4,100,80,40
"Mareca strepera",NA,76,"High Priority",5,5,100,80,40
"Tachyspiza badia",NA,76,"High Priority",5,4,100,80,40
"Anser cygnoides",NA,76,"High Priority",4,3,100,80,40
"Bucanetes mongolicus",NA,76,"High Priority",4,5,100,80,40
"Buteo buteo","Buteo buteo (Linnaeus, 1758)",76,"High Priority",4,4,100,80,40
"Cuculus varius","Hierococcyx varius (Vahl, 1797)",76,"High Priority",4,4,100,80,40
"Ficedula ruficauda",NA,76,"High Priority",4,4,100,80,40
"Ichthyaetus ichthyaetus","Ichthyaetus ichthyaetus (Pallas, 1773)",76,"High Priority",4,4,100,80,40
"Jynx torquilla","Jynx torquilla Linnaeus, 1758",76,"High Priority",4,4,100,80,40
"Mareca strepera","Mareca strepera (Linnaeus, 1758)",76,"High Priority",4,5,100,80,40
"Motacilla flava","Motacilla flava Linnaeus, 1758",76,"High Priority",4,4,100,80,40
"Phalacrocorax carbo",NA,76,"High Priority",4,5,100,80,40
"Picus canus","Picus canus J.F.Gmelin, 1788",76,"High Priority",4,3,100,80,40
"Pycnonotus leucotis","Pycnonotus leucotis (Gould, 1836)",76,"High Priority",4,3,100,80,40
"Thinornis dubius",NA,76,"High Priority",4,3,100,80,40
"Aegithalos niveogularis",NA,76,"High Priority",3,2,100,100,20
"Anser anser",NA,76,"High Priority",3,3,100,80,40
"Aquila heliaca",NA,76,"High Priority",3,4,100,80,40
"Ardea coromanda",NA,76,"High Priority",3,3,100,80,40
"Athene brama","Athene brama (Temminck, 1821)",76,"High Priority",3,3,100,80,40
"Bubo bubo","Bubo bubo (Linnaeus, 1758)",76,"High Priority",3,3,100,80,40
"Butastur teesa",NA,76,"High Priority",3,3,100,80,40
"Circus aeruginosus","Circus aeruginosus (Linnaeus, 1758)",76,"High Priority",3,5,100,80,40
"Clamator jacobinus","Clamator jacobinus (Boddaert, 1783)",76,"High Priority",3,4,100,80,40
"Coracias benghalensis","Coracias benghalensis (Linnaeus, 1758)",76,"High Priority",3,3,100,80,40
"Corvus corone",NA,76,"High Priority",3,3,100,80,40
"Emberiza lathami",NA,76,"High Priority",3,4,100,80,40
"Ficedula subrubra",NA,76,"High Priority",3,3,100,80,40
"Mergus merganser","Mergus merganser Linnaeus, 1758",76,"High Priority",3,3,100,80,40
"Montifringilla adamsi",NA,76,"High Priority",3,3,100,80,40
"Netta rufina","Netta rufina (Pallas, 1773)",76,"High Priority",3,5,100,80,40
"Oenanthe isabellina",NA,76,"High Priority",3,3,100,80,40
"Oenanthe oenanthe","Oenanthe oenanthe (Linnaeus, 1758)",76,"High Priority",3,5,100,80,40
"Otus lettia",NA,76,"High Priority",3,3,100,80,40
"Otus spilocephalus","Otus spilocephalus (Blyth, 1846)",76,"High Priority",3,3,100,80,40
"Petronia petronia","Petronia petronia (Linnaeus, 1766)",76,"High Priority",3,4,100,80,40
"Phalacrocorax carbo","Phalacrocorax carbo (Linnaeus, 1758)",76,"High Priority",3,5,100,80,40
"Porzana pusilla","Zapornia pusilla (Pallas, 1776)",76,"High Priority",3,3,100,80,40
"Prinia hodgsonii","Prinia hodgsonii Blyth, 1844",76,"High Priority",3,3,100,80,40
"Prunella rubeculoides","Prunella rubeculoides (Moore, 1854)",76,"High Priority",3,8,100,60,60
"Scolopax rusticola","Scolopax rusticola Linnaeus, 1758",76,"High Priority",3,3,100,80,40
"Butastur teesa","Butastur teesa (Franklin, 1831)",76,"High Priority",2,3,100,80,40
"Calidris temminckii","Calidris temminckii (Leisler, 1812)",76,"High Priority",2,3,100,80,40
