"species","scientificName","total_records","gbif_records","inat_records","first_year","last_year","rarity_score","n_grid_cells","lat_range","lon_range","range_score","trend","trend_score","priority_score","priority_level"
"Aegithalos niveogularis",NA,3,0,3,2022,2025,100,2,0.276145162600002,0.17631999999999,100,21,20,76,"High Priority"
"Anser anser",NA,3,0,3,2015,2024,100,3,1.0003954077,0.899672000199999,80,0,40,76,"High Priority"
"Aquila heliaca",NA,3,0,3,2024,2024,100,4,0.311149473500002,1.357828287,80,4,40,76,"High Priority"
"Ardea coromanda",NA,3,0,3,2021,2025,100,3,0.690876532000004,2.5232334195,80,3,40,76,"High Priority"
"Athene brama","Athene brama (Temminck, 1821)",3,3,0,2021,2022,100,3,0.625973000000002,1.030554,80,3,40,76,"High Priority"
"Bubo bubo","Bubo bubo (Linnaeus, 1758)",3,3,0,2020,2024,100,3,0.0409325927000026,0.0758164820000076,80,4,40,76,"High Priority"
"Butastur teesa",NA,3,0,3,2019,2024,100,3,0.324207305899996,0.426811003699996,80,3,40,76,"High Priority"
"Circus aeruginosus","Circus aeruginosus (Linnaeus, 1758)",3,3,0,2021,2023,100,5,1.74690259819999,1.77779269440001,80,5,40,76,"High Priority"
"Clamator jacobinus","Clamator jacobinus (Boddaert, 1783)",3,3,0,2021,2023,100,4,0.973274528699996,2.3858600457,80,4,40,76,"High Priority"
"Coracias benghalensis","Coracias benghalensis (Linnaeus, 1758)",3,3,0,2020,2022,100,3,0.458676000000004,0.255979999999994,80,3,40,76,"High Priority"
"Corvus corone",NA,3,0,3,2023,2025,100,3,2.5465388286,3.7989160658,80,3,40,76,"High Priority"
"Emberiza lathami",NA,3,0,3,2018,2021,100,4,0.636255305899994,0.440552329599996,80,5,40,76,"High Priority"
"Ficedula subrubra",NA,3,0,3,2018,2025,100,3,0.622287579400002,1.0784154408,80,1,40,76,"High Priority"
"Mergus merganser","Mergus merganser Linnaeus, 1758",3,3,0,2020,2023,100,3,0.312137999999997,1.80935359999999,80,2,40,76,"High Priority"
"Montifringilla adamsi",NA,3,0,3,2013,2025,100,3,0.843995999999997,3.75063,80,2,40,76,"High Priority"
"Netta rufina","Netta rufina (Pallas, 1773)",3,3,0,2020,2022,100,5,1.74690259819999,1.7813925,80,3,40,76,"High Priority"
"Oenanthe isabellina",NA,3,0,3,2021,2021,100,3,0.912658598199997,1.13121269440001,80,4,40,76,"High Priority"
"Oenanthe oenanthe","Oenanthe oenanthe (Linnaeus, 1758)",3,3,0,2023,2024,100,5,2.41475926410001,3.75380999999999,80,3,40,76,"High Priority"
"Otus lettia",NA,3,0,3,2024,2024,100,3,0.250258490299998,1.3037449,80,4,40,76,"High Priority"
"Otus spilocephalus","Otus spilocephalus (Blyth, 1846)",3,3,0,2024,2024,100,3,0.618922999999995,0.931850000000011,80,3,40,76,"High Priority"
"Petronia petronia","Petronia petronia (Linnaeus, 1766)",3,3,0,2021,2023,100,4,1.1923587,2.604742,80,1,40,76,"High Priority"
"Phalacrocorax carbo","Phalacrocorax carbo (Linnaeus, 1758)",3,3,0,2019,2023,100,5,1.191071,2.21384690000001,80,1,40,76,"High Priority"
"Porzana pusilla","Zapornia pusilla (Pallas, 1776)",3,3,0,2023,2023,100,3,1.35450700000001,0.932652000000004,80,3,40,76,"High Priority"
"Prinia hodgsonii","Prinia hodgsonii Blyth, 1844",3,3,0,2022,2024,100,3,0.498654000000002,0.928135999999995,80,4,40,76,"High Priority"
"Prunella rubeculoides","Prunella rubeculoides (Moore, 1854)",3,3,0,2020,2023,100,8,1.6778105556,2.841854,60,-5,60,76,"High Priority"
