"species","scientificName","total_records","gbif_records","inat_records","first_year","last_year"
"Porzana pusilla","Zapornia pusilla (Pallas, 1776)",3,3,0,2023,2023
"Prinia hodgsonii","Prinia hodgsonii Blyth, 1844",3,3,0,2022,2024
"Prunella collaris",NA,3,0,3,2005,2023
"Prunella himalayana","Prunella himalayana (Blyth, 1842)",3,3,0,2019,2024
"Prunella himalayana",NA,3,0,3,2023,2024
"Prunella rubeculoides","Prunella rubeculoides (Moore, 1854)",3,3,0,2020,2023
"Psilopogon virens",NA,3,0,3,2016,2024
"Psittacula cyanocephala","Psittacula cyanocephala (Linnaeus, 1766)",3,3,0,2020,2024
"Scolopax rusticola","Scolopax rusticola Linnaeus, 1758",3,3,0,2020,2024
"Strix aluco","Strix aluco Linnaeus, 1758",3,3,0,2021,2024
"Strix aluco",NA,3,0,3,2021,2024
"Turdus rubrocanus",NA,3,0,3,2025,2025
"Turdus viscivorus",NA,3,0,3,2017,2023
"Vanellus indicus",NA,3,0,3,2019,2024
"Zapornia pusilla",NA,3,0,3,2021,2023
"Acridotheres ginginianus",NA,4,0,4,2020,2021
"Alauda gulgula","Alauda gulgula Franklin, 1831",4,4,0,2021,2024
"Anas crecca",NA,4,0,4,2022,2025
"Anser cygnoides",NA,4,0,4,2024,2025
"Apus affinis",NA,4,0,4,2020,2024
"Argya striata",NA,4,0,4,2019,2025
"Bucanetes mongolicus",NA,4,0,4,2013,2025
"Buteo buteo","Buteo buteo (Linnaeus, 1758)",4,4,0,2020,2024
"Buteo refectus","Buteo refectus Portenko, 1935",4,4,0,2020,2021
"Catreus wallichii",NA,4,0,4,2021,2024
"Columba leuconota",NA,4,0,4,2011,2024
"Cuculus varius","Hierococcyx varius (Vahl, 1797)",4,4,0,2023,2024
"Ficedula ruficauda",NA,4,0,4,2020,2025
"Fringilla coelebs","Fringilla coelebs Linnaeus, 1758",4,4,0,2021,2025
"Gallinago gallinago",NA,4,0,4,2022,2025
"Ichthyaetus ichthyaetus","Ichthyaetus ichthyaetus (Pallas, 1773)",4,4,0,2020,2023
"Jynx torquilla","Jynx torquilla Linnaeus, 1758",4,4,0,2023,2024
"Lanius excubitor",NA,4,0,4,2020,2022
"Leptopoecile sophiae",NA,4,0,4,2021,2025
"Locustella major",NA,4,0,4,2022,2025
"Lophophorus impejanus",NA,4,0,4,2021,2025
"Mareca strepera","Mareca strepera (Linnaeus, 1758)",4,4,0,2019,2021
"Megaceryle lugubris","Megaceryle lugubris (Temminck, 1834)",4,4,0,2023,2024
"Motacilla flava","Motacilla flava Linnaeus, 1758",4,4,0,2022,2025
"Muscicapa sibirica",NA,4,0,4,2017,2024
"Mycerobas icterioides",NA,4,0,4,2018,2024
"Niltava sundara",NA,4,0,4,2020,2025
"Ortygornis pondicerianus","Ortygornis pondicerianus (J.F.Gmelin, 1789)",4,4,0,2020,2024
"Pernis ptilorhynchus",NA,4,0,4,2020,2022
"Phalacrocorax carbo",NA,4,0,4,2019,2025
"Phoenicurus erythronotus",NA,4,0,4,2017,2025
"Phoenicurus frontalis",NA,4,0,4,2016,2025
"Picus canus","Picus canus J.F.Gmelin, 1788",4,4,0,2021,2023
"Prinia crinigera",NA,4,0,4,2019,2024
"Pycnonotus leucotis","Pycnonotus leucotis (Gould, 1836)",4,4,0,2020,2020
"Regulus regulus",NA,4,0,4,2022,2025
"Spilopelia chinensis",NA,4,0,4,2018,2025
"Tetraogallus himalayensis",NA,4,0,4,2019,2025
"Thinornis dubius",NA,4,0,4,2021,2024
"Turdus viscivorus","Turdus viscivorus Linnaeus, 1758",4,4,0,2019,2024
